,pmi,trade,ip,oil,fin,ai,copper,usd,factor_static,factor_smoothed
2013-10-01,50.92025,5.460635029593952,3.7110650596638974,-1.8981899260192447,-1.932695395824602,0.5846103275972283,-11.211350797895305,-0.1987586666166052,0.2494194627496984,0.19271199364147143
2013-11-01,50.92475,6.191905675658282,4.025882305865092,-1.5904582153059676,-1.621134296920648,0.5313442425993554,-8.198584896924888,-0.1967668656035037,0.32007981986738293,0.22859694992004048
2013-12-01,50.88049999999999,3.916621716186386,2.7777045733343497,1.4191972860986055,-1.7802348716379552,0.6152102240924836,-7.780454895226097,-0.6872824194249727,0.2640323982554045,0.20386119364155714
2014-01-01,50.79975000000001,6.454155124352923,1.7770679334634163,-4.514725474362868,-1.7863274836625311,0.2888900836633508,-8.51392577181851,-1.17209504651683,0.16011936910971813,0.14995910477871477
2014-02-01,50.7265,1.6137936173202585,2.093316992337657,-6.354542431944843,-1.9404942592506744,0.4077443097154278,-10.39153007696294,0.1834800887100085,0.10835921490389115,0.12693785815954367
2014-03-01,50.67550000000001,4.852927491880243,2.006092576797736,-1.518352000855694,-1.8610514818625423,0.4731322409348827,-11.368725124735304,3.334349414579496,0.2561067732765666,0.18006344390525555
2014-04-01,50.62725,2.3496063085353125,4.333454745375853,4.330620974498278,-1.7809516649370714,0.3314611525151141,-6.342293330845205,3.23740304191984,0.2997076410737828,0.21911618227231133
2014-05-01,50.57749999999999,4.339584766204996,1.3471202888397649,5.817025223307715,-1.5648434126663044,0.2806893809535132,-5.062072006895146,3.923141810340869,0.3168813494475888,0.23741754726656053
2014-06-01,50.5285,2.864860351279175,1.621771346341827,8.568565604939572,-1.447710129751138,0.5136437196598314,-2.566257203817268,1.7203531367259606,0.34968374504789607,0.2502588909570575
2014-07-01,50.48649999999999,3.0213423591340938,0.9252449278101648,0.4595732178038103,-1.542406129455063,0.2567510236620864,2.662395697842368,2.707853832787266,0.28859061294588456,0.21772517403196587
2014-08-01,50.45774999999999,2.4690520241631875,-0.9820286420668012,-6.5073799002381305,-1.693027031085608,0.6617626767040025,-3.783736891915135,-0.4688060963174978,0.1705497988430496,0.1457701204795635
2014-09-01,50.44274999999999,9.757083330950245,1.6008930938748334,-11.73750592387808,-1.6892042075439238,0.3454661715670465,-5.539485750553186,-4.06551176040999,0.1362767563353185,0.07877993590125468
2014-10-01,50.43375000000001,5.918212508150544,0.4055618937914396,-19.65542993834942,-2.259865117150694,0.2328343439103602,-7.499983680343247,-7.267016045336083,-0.16212421844395955,-0.0529781637089301
2014-11-01,50.42725000000001,6.171670591265044,3.9021589787450406,-25.815704425828613,-1.6824922843436172,0.4738058312314854,-6.179202382487492,-8.515685264160734,-0.000574358800868563,-0.08354433174748449
2014-12-01,50.424250000000015,0.2193536299755827,2.9249838781802984,-42.984793995683255,-2.0460885277030805,0.293914599441442,-13.274706026105354,-11.02044416462178,-0.36987211021097444,-0.2797329572709137
2015-01-01,50.4215,2.595653848373458,0.9778013676570608,-53.65650012360816,-2.3982727634937597,0.1417997345361339,-20.92065501215643,-15.056982922452388,-0.643848655580557,-0.4517346369911341
2015-02-01,50.41049999999999,2.538722264128812,0.9002839437138421,-46.239888943025306,-1.9949598529856216,0.2441498238259591,-20.143856576525,-17.401171669456804,-0.5806449903483185,-0.5036340163561255
2015-03-01,50.37775,-4.817932781314605,-1.224508202850738,-47.212815883060976,-1.858048612171952,-0.0100309935092246,-11.8621077672029,-22.54613512666877,-0.8198366299690727,-0.5948546557586291
2015-04-01,50.29675000000001,-5.811350952704986,0.4679608669672985,-43.5778225506582,-1.6927283615145452,0.0092686477880428,-10.314012316670697,-22.213939437707,-0.7452770036173464,-0.5922442325931209
2015-05-01,50.13625000000001,-9.108961503159152,-0.5741150358506419,-39.93656377894024,-1.6731275125485483,0.1694525362893843,-7.619636147929921,-19.0658353182098,-0.6786856029668084,-0.5842522776130086
2015-06-01,49.88407500000001,1.053522882766056,0.261583851050573,-43.11143106531343,-1.7986946045911598,-0.3639697836169065,-13.638983457099918,-18.308282004967367,-0.7147533483710329,-0.6357944506770147
2015-07-01,49.562125,0.9263869812034198,1.5262840466021776,-47.56554941045458,-1.800348067468646,-0.3831248750621771,-23.054107834494896,-20.37865916182744,-0.8455303565796249,-0.7382009155137651
2015-08-01,49.22572500000001,5.322156728188587,0.6385647621981461,-53.33013756711982,-2.436981721857633,-0.7175318731766505,-26.10898609003636,-17.729794870143035,-0.9750469748677681,-0.8275422835398348
2015-09-01,48.92804999999999,0.0451518245879523,1.274289430636677,-50.70589731609101,-3.057770227679119,-0.7255736000546565,-23.330920690512137,-13.378137063377292,-1.0181349415104854,-0.8529779447531107
2015-10-01,48.69975,0.3104647582285347,1.1120999311351687,-44.0616304490102,-2.1060126900217964,-0.4719989360680319,-22.01103554576997,-11.723596593501329,-0.7663344001199837,-0.7940893376052112
2015-11-01,48.5174,-3.647214978461233,1.1694691686696013,-42.55313332688275,-2.0333168511422386,-0.6055229716749905,-28.573327821928697,-12.885880760056924,-0.9155304253487231,-0.8467425728170836
2015-12-01,48.35887499999998,0.1638209012619018,-1.62971941014457,-38.43780619352785,-2.261040153589404,-0.6656325236128895,-28.15411395168811,-10.293405951722058,-0.8943734643868528,-0.8466939118434933
2016-01-01,48.23460000000001,-2.591836221975663,1.3887145910423948,-35.16081894526578,-2.9750768173480395,-0.7374844898705142,-24.263967512730225,-6.502683331000991,-0.8765421564925644,-0.8108089603993021
2016-02-01,48.160825,1.4086209491420476,1.7900715589308946,-42.58008593387438,-2.8244414060329626,-0.9152858208054624,-20.90924473748821,-2.7923625198240654,-0.7645284573711697,-0.7249001087431507
2016-03-01,48.15954999999999,-6.242887691177335,2.780920761836736,-30.181147123877928,-1.9880458825445164,-0.6453132438000792,-17.59058113086346,1.653726489850238,-0.5013085676785415,-0.6014940312900185
2016-04-01,48.2171,-1.6501584877427369,1.1683159044330482,-28.833761611147068,-1.7937939153318274,-0.7354765346359273,-20.70215104551091,3.266762200595652,-0.4393272934378122,-0.5532761185896681
2016-05-01,48.31164999999999,-4.358669545065464,-0.011554337479902,-27.228170028818557,-1.8630823278528672,-0.7411402881096241,-27.02540886477308,0.7039417558497241,-0.5976781645647048,-0.5605786676602253
2016-06-01,48.43847499999999,5.070618512173941,2.2842561748787737,-21.626981995379424,-2.2295671128932755,-0.522865045576995,-21.591131404889357,0.5229885185217498,-0.36059662428784967,-0.40547612246730635
2016-07-01,48.608875000000005,1.3967305511131345,-0.3415964996765774,-18.17465179656217,-1.6505490380141024,-0.0065982337602726,-11.074009757163028,0.4019835431445684,-0.16681196399780251,-0.21773402529020283
2016-08-01,48.82102499999999,8.603565703725135,3.217102781511194,-2.171144598888275,-1.555351324207607,0.3780843205173388,-8.240038125071592,1.0356033207625237,0.21419757265836437,-0.004726634096256437
2016-09-01,49.079349999999984,3.435345578276228,1.416325852403855,-2.3439189950781425,-1.783639565755155,0.5962062232144958,-9.830862655237771,0.3058306228429508,0.11323790686980509,0.03890018271313353
2016-10-01,49.36142499999999,5.172596011212804,2.9625274383817235,4.056579121882353,-1.8295132830588667,0.1688726412423083,-9.725587551702464,-2.1155801514669337,0.05507585161590263,0.09975738320264137
2016-11-01,49.64279999999999,6.973570326166279,5.102814202028361,2.617249434097224,-1.9111661122574064,0.3393824708840997,14.33625196868511,-0.6790664158192516,0.35806905679200335,0.3385482929307687
2016-12-01,49.910775,12.14593366639034,5.948303769277241,40.627752299210826,-1.5644850331060394,0.5386944713310714,23.27748188638237,-3.741573280649368,0.7121193093076175,0.587811889197311
2017-01-01,50.15125000000001,8.776396914297479,2.8551573050938472,72.06885326343337,-1.4561232996994349,0.992382990187464,30.315682014324928,-2.11970895427478,0.9559691230458149,0.7349266714866107
2017-02-01,50.36449999999999,-1.1218996526079494,0.9643351455108196,66.66470820747945,-1.4463426013646823,1.037375184395539,29.84087760972265,-3.703109928091508,0.746871564168851,0.6718645074323565
2017-03-01,50.55724999999999,1.957090500204206,1.4427262820113862,32.08515867080597,-1.492415196754287,0.8845070708145742,18.355806301927547,-4.674429597937402,0.5212583007175899,0.5673873108799042
2017-04-01,50.73975000000001,1.9711079473177184,3.992490045097541,24.044900109654183,-1.6477663411946657,1.0372085159017892,18.479346906113147,-5.9758748176868215,0.5319189202023773,0.5685152451314562
2017-05-01,50.92825000000001,9.33250625057671,4.2570135217851135,7.562986911333791,-1.3625195745763137,1.042784287346644,20.725027846296666,-3.963876757407258,0.6810147325532917,0.6293557574123053
2017-06-01,51.13575000000001,1.489449897169659,3.8386849311247806,-4.780632627875104,-1.3187880275772386,0.8896549590557523,24.037097258351903,-2.4044682884072577,0.552985064390244,0.6228865003883431
2017-07-01,51.35475,3.5812317815731243,3.556054213618132,6.031599914555264,-1.287537373655162,0.6767727341642358,23.62588343382812,1.7722434187372629,0.6783068163874839,0.6902650210175436
2017-08-01,51.579000000000015,1.8645891329439837,4.513072295082199,10.036222941195147,-1.5021773809910677,0.6073922826214929,38.199097280511786,2.3106666046690427,0.7706621601913738,0.7926006568111239
2017-09-01,51.78474999999999,4.000794400111096,3.118890262724605,17.662243768318376,-1.3093005077743682,0.6409431900575246,39.603124395594726,3.2904511659455737,0.8837493040709662,0.8844879623441642
2017-10-01,51.95025000000001,1.0545642073837236,3.171785902728086,12.572794537167908,-1.270096070195696,1.0162225286774742,44.8178867025842,4.112436556253829,0.9771085938385923,0.958340091658329
2017-11-01,52.06025,8.794838139728945,4.254254346937714,33.46089853105685,-1.3221547078571467,0.7626558224448321,25.55583659672662,5.725217089414658,1.033755823160491,0.9652003548342617
